group,conditional_cat,demo_cat,property_offense,drug_offense,violent_offense,times_arrested,demo_var,conditional_var
All,2.0,5,3.5270059485633865,1.9124630021201563,1.7804956035684483,9.37341447418846,age,hopeless
All,2.0,6,2.125113830810221,3.2408675347076787,1.285908098295047,7.8718145029080935,age,hopeless
All,1.0,1,4.129356668545621,1.6105094918001945,1.6691851004426725,6.250519410223115,age,hopeless
All,1.0,2,1.9616506491064807,1.886830707374753,1.6096223290032292,8.565497681665452,age,hopeless
All,1.0,3,2.1565513469901774,2.096874102939722,1.7657112119101412,10.060378448569573,age,hopeless
All,1.0,4,2.445155649783438,2.335697896772665,1.5512338393098815,8.863655338128467,age,hopeless
All,1.0,5,2.3550038765384653,2.076683229788477,1.6297636276513952,7.511013856883656,age,hopeless
All,1.0,6,3.2096257304079012,2.2949290770600688,1.7543233173792805,5.1562257897162755,age,hopeless
All,5.0,1,2.0327529264176274,1.7736762932977843,1.6706743885883717,7.410876848114215,age,nervous
All,5.0,2,3.372637802652868,1.9785478940503756,1.7916183482467969,8.585500303422593,age,nervous
All,5.0,3,2.6633413199711065,2.8757989951301783,1.8016898802234602,13.0216885052245,age,nervous
All,5.0,4,2.2169946145062247,1.8683357194780486,1.73424952043971,9.551794677177334,age,nervous
All,5.0,5,2.6849039221554256,2.0828851827752257,1.7730877079102518,9.943628664565194,age,nervous
All,5.0,6,2.335589592324163,2.453030854996594,1.308448664396791,7.359721696935846,age,nervous
All,4.0,1,2.06035483037313,1.9461663359655044,1.8322689861077548,7.312241580168389,age,nervous
All,4.0,2,2.530664251395316,2.085783707144494,1.7697415662409326,8.714169217105805,age,nervous
All,4.0,3,2.1486467144958934,2.430416718715436,1.5127734307403053,11.121771399762117,age,nervous
All,4.0,4,2.935009907757348,2.5575587968040447,1.8334677859798452,11.669462984957615,age,nervous
All,4.0,5,2.98625149555224,3.4411390027149475,1.5435455627251493,7.418254427652526,age,nervous
All,4.0,6,1.7957450825824344,2.590539092533647,1.2500299802651604,3.5895583586444024,age,nervous
All,3.0,1,8.050744002883519,1.8579324288579753,1.4346438496491507,6.747991461329241,age,nervous
All,3.0,2,1.874584831263013,2.048533602278721,1.5224096667816454,9.546793006421822,age,nervous
All,3.0,3,2.382445897165887,2.3207816584302132,1.5174271775239556,10.161298107035542,age,nervous
All,3.0,4,2.5333345855979195,2.5652686453166167,1.6507294201146576,9.143777731625118,age,nervous
All,3.0,5,2.898872279219532,1.8665893342371815,1.703568159544283,8.579431493918987,age,nervous
All,3.0,6,6.2695917502119665,1.5125982344791988,1.6524510364370175,8.965361972047475,age,nervous
All,2.0,1,2.683095605533815,1.640692933850325,1.8285006733181963,6.10823126917323,age,nervous
All,2.0,2,2.1453837320334688,1.9154978902419677,1.6019944579641898,9.597463633095195,age,nervous
All,2.0,3,2.075234021823629,2.17107766627693,1.9053615685125573,9.675329867475087,age,nervous
All,2.0,4,2.4428051123036068,2.159698506481346,1.5345171212896787,9.068083070059176,age,nervous
All,2.0,5,1.8609663292896577,2.067615111123176,1.6319393688881758,7.935076321723563,age,nervous
All,2.0,6,2.019763575454715,2.304682443814357,1.5516607022806965,5.5769694143170305,age,nervous
All,1.0,1,1.9017221363339203,1.610112187560802,1.606168426466089,6.1658978715932475,age,nervous
All,1.0,2,1.9496325502372611,1.8925512392439552,1.6220740299669534,8.048342039991843,age,nervous
All,1.0,3,2.096011117616079,2.0736286679844915,1.6890654430155967,9.673012152968319,age,nervous
All,1.0,4,2.5108422894369338,2.3379005984022245,1.5664245476871703,9.189439967796325,age,nervous
All,1.0,5,2.585013272167215,2.009634384597921,1.6197470046605829,7.6497661662141985,age,nervous
All,1.0,6,2.410649864573634,2.391962272572428,1.807866421442462,4.813566468595711,age,nervous
All,overall_average,1,3.422327497652103,1.7024240267380084,1.6443414014063111,6.453265258833911,age,family_conditions
All,overall_average,2,2.1304443186051802,1.9508484883158308,1.6228366302838213,8.883896880482546,age,family_conditions
All,overall_average,3,2.2109855982993696,2.2205894084325903,1.693250817492764,10.147490921816994,age,family_conditions
All,overall_average,4,2.5149706608851763,2.336909165040572,1.6108545168869113,9.355276180523944,age,family_conditions
All,overall_average,5,2.5734606362761596,2.1096178324185875,1.6461005377040834,8.020879713209403,age,family_conditions
All,overall_average,6,2.8703870146432875,2.283309601044909,1.6643707751010712,5.617806773374768,age,family_conditions
All,foster_home,1,7.671682064440551,1.7411638274700045,2.1245553992769572,9.294972365828167,age,family_conditions
All,foster_home,2,2.75827152514427,2.0333372842504063,1.9881453467117725,12.513397679379228,age,family_conditions
All,foster_home,3,2.5852125614386985,2.361033110914562,2.0307605385200858,13.754286308552755,age,family_conditions
All,foster_home,4,3.094978962176332,2.800781588319892,2.068875201274404,13.834988704016158,age,family_conditions
All,foster_home,5,3.0284500931414344,1.8963021537122862,2.3976681359655254,12.780196429680274,age,family_conditions
All,foster_home,6,1.7004639459776347,1.1406127459802888,1.7146961055619108,6.253358170413486,age,family_conditions
All,homeless,1,3.9812166262065167,1.596601401618017,2.0426566744919956,7.749763859238104,age,family_conditions
All,homeless,2,3.0244840747435915,2.2874992227068884,1.7632738034789166,11.251168523245653,age,family_conditions
All,homeless,3,2.2361401446597515,2.7143780093379735,1.9449100331061415,17.91522373343921,age,family_conditions
All,homeless,4,3.1305692965117857,3.1052210348166303,2.039569429935214,16.440104888637542,age,family_conditions
All,homeless,5,3.147233594470076,1.6144572826739652,1.6050971835855958,12.591490389575133,age,family_conditions
All,homeless,6,3.6375505216895236,2.660977392114282,1.9683062345693623,7.151244943694111,age,family_conditions
All,relatives_prison,1,4.118292652770025,1.7670254439694402,1.7948171642099633,7.0241107615412215,age,family_conditions
All,relatives_prison,2,2.247405384046624,2.0088520678135113,1.6985459007938148,9.983844561895594,age,family_conditions
All,relatives_prison,3,2.3248191354434176,2.2694693780150472,1.733706076789544,11.815853372645158,age,family_conditions
All,relatives_prison,4,2.6281248814253644,2.5333218156571746,1.7487607559439016,11.648201586388076,age,family_conditions
All,relatives_prison,5,2.688110347208824,1.9893337511349394,1.7267870008223043,9.84641127615004,age,family_conditions
All,relatives_prison,6,2.542814955337412,2.1052915467680835,1.722983075592854,7.989066078422542,age,family_conditions
All,homeless_before18,1,9.931179932426199,1.6953810703011059,1.837613706651491,8.822182242832676,age,family_conditions
All,homeless_before18,2,2.2458376825501443,2.000686850640421,1.855889839276644,12.324233626657989,age,family_conditions
All,homeless_before18,3,2.383396913386193,2.666826050686471,1.7827816622496815,17.718491751909863,age,family_conditions
All,homeless_before18,4,2.6470133731212524,2.553537838052671,2.044032647017987,13.501048770543948,age,family_conditions
All,homeless_before18,5,4.6070812198361955,2.6452774417601415,2.1051395070935173,19.97544845172883,age,family_conditions
All,homeless_before18,6,2.733206050238585,0.8318295811684443,1.7364682929945887,7.653323611732198,age,family_conditions
